timestamp,GHS 5s,GHS av,Hardware Errors,Device Rejected%,Device Hardware%,no_matching_work,miner_count,frequency,frequency1,frequency2,frequency3,frequency4,fan1,fan2,temp1,temp2,temp3,temp4,temp2_1,temp2_2,temp2_3,temp2_4,temp_max,chain_rate1,chain_rate2,chain_rate3,chain_rate4,chain_acn1,chain_acn2,chain_acn3,chain_acn4,chain_hw1,chain_hw2,chain_hw3,chain_hw4,chain_power1,chain_power2,chain_power3,chain_power4,chain_power,voltage1,voltage2,voltage3,voltage4,anomaly_label,anomaly_type
2024-01-01T00:00:00,257.421,258.39,0,1.59,0.0093,0,4,200.0,200.0,200.0,200.0,200.0,2207.0,2268.0,38.8,39.0,38.5,39.6,46.7,46.1,46.9,46.4,46.9,65.082,62.66,63.54,59.942,72,72,72,67,0,2,0,0,104.47,104.49,106.27,103.61,418.83,10.072,10.145,10.108,10.103,normal,none
2024-01-01T00:00:30,258.204,257.14,0,1.72,0.0269,0,4,200.0,200.0,200.0,200.0,200.0,2232.0,2210.0,39.1,39.1,39.1,39.5,46.2,46.5,46.1,46.2,46.5,65.055,64.931,65.167,59.553,72,72,72,67,0,0,0,0,104.17,104.61,104.74,104.83,418.36,10.097,10.091,10.084,10.099,normal,none
2024-01-01T00:01:00,257.055,255.87,1,1.7,0.115,0,4,200.0,200.0,200.0,200.0,200.0,2199.0,2205.0,39.0,39.3,38.7,39.2,45.3,45.6,45.6,44.9,45.6,64.647,64.18,64.991,59.459,72,72,72,67,0,0,0,0,101.62,101.96,103.39,102.05,409.02,10.11,10.129,10.128,10.137,normal,none
2024-01-01T00:01:30,257.774,257.34,0,2.25,0.0919,0,4,200.0,200.0,200.0,200.0,200.0,2214.0,2274.0,38.7,38.1,39.1,38.7,46.2,46.0,47.3,45.8,47.3,65.093,62.918,64.974,60.103,72,72,72,67,0,0,0,1,103.96,103.08,101.79,102.26,411.09,10.119,10.164,10.143,10.124,normal,none
2024-01-01T00:02:00,257.619,254.87,2,2.36,0.0273,0,4,200.0,200.0,200.0,200.0,200.0,2247.0,2236.0,39.0,39.7,39.2,39.0,45.3,44.8,45.7,46.1,46.1,64.612,63.585,64.276,59.456,72,72,72,67,0,0,1,0,104.8,104.24,104.36,103.72,417.11,10.149,10.09,10.063,10.071,normal,none
2024-01-01T00:02:30,261.035,261.41,1,1.02,0.0061,0,4,200.0,200.0,200.0,200.0,200.0,2235.0,2311.0,39.3,40.0,39.2,38.3,45.0,47.4,47.5,46.0,47.5,66.281,65.234,65.132,61.496,72,72,72,67,0,0,0,0,106.04,103.2,105.31,104.47,419.01,10.066,10.074,10.136,10.094,normal,none
2024-01-01T00:03:00,259.601,259.18,1,0.83,0.1565,0,4,200.0,200.0,200.0,200.0,200.0,2311.0,2272.0,38.7,38.9,39.2,39.2,45.2,46.2,46.3,48.1,48.1,65.681,65.123,66.14,60.245,72,72,72,67,0,1,0,0,103.65,103.29,104.1,102.37,413.42,10.099,10.051,10.086,10.123,normal,none
2024-01-01T00:03:30,256.905,256.43,3,2.21,0.074,0,4,200.0,200.0,200.0,200.0,200.0,2207.0,2263.0,39.8,39.6,39.2,39.3,45.4,46.3,46.3,46.7,46.7,64.489,65.362,63.656,59.554,72,72,72,67,2,0,0,0,104.84,103.64,103.27,105.68,417.42,10.151,10.116,10.124,10.112,normal,none
2024-01-01T00:04:00,261.706,261.32,0,1.06,0.0891,1,4,200.0,200.0,200.0,200.0,200.0,2208.0,2298.0,37.6,39.0,39.2,39.3,45.9,44.8,46.4,47.6,47.6,65.345,65.033,65.743,61.921,72,72,72,67,2,0,0,1,105.68,106.07,105.26,107.05,424.05,10.097,10.108,10.068,10.097,normal,none
2024-01-01T00:04:30,268.641,269.62,0,2.85,0.0616,0,4,200.0,200.0,200.0,200.0,200.0,2244.0,2260.0,40.1,39.6,38.8,38.6,46.3,45.3,45.7,46.5,46.5,65.893,66.905,66.414,62.071,72,72,72,67,0,0,1,0,109.52,110.04,108.5,110.01,438.07,10.018,10.122,10.113,10.127,normal,none
2024-01-01T00:05:00,260.921,260.72,1,0.87,0.0,1,4,200.0,200.0,200.0,200.0,200.0,2254.0,2277.0,39.9,38.6,38.5,39.2,46.7,46.1,47.1,46.7,47.1,65.53,65.815,64.595,60.573,72,72,72,67,0,0,0,1,103.64,104.93,105.01,104.75,418.33,10.203,10.102,10.03,10.174,normal,none
2024-01-01T00:05:30,264.482,264.78,2,0.82,0.0056,0,4,200.0,200.0,200.0,200.0,200.0,2189.0,2198.0,39.6,38.9,39.5,39.0,46.1,46.9,44.6,45.2,46.9,66.541,65.365,66.176,61.637,72,72,72,67,0,1,0,0,108.1,106.75,105.76,106.02,426.63,10.083,10.14,10.099,10.118,normal,none
2024-01-01T00:06:00,257.418,258.03,0,1.98,0.0657,0,4,200.0,200.0,200.0,200.0,200.0,2231.0,2232.0,38.9,38.5,38.8,39.4,46.1,46.5,46.5,47.3,47.3,64.253,62.752,65.267,59.415,72,72,72,67,0,0,0,0,104.05,105.01,103.01,104.23,416.3,10.153,10.097,10.155,10.125,normal,none
